name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
nbody,python,1,10000,1235,0.132,0,0,7% 0% 0% 0% 100% 0% 7% 0%,0.136
nbody,python,1,20000,1235,0.248,1724,0,0% 0% 0% 0% 0% 0% 100% 0%,0.251
nbody,python,1,30000,1235,0.372,1652,0,3% 0% 0% 3% 0% 0% 0% 100%,0.374
nbody,python,1,40000,1235,0.488,6652,0,2% 100% 0% 0% 0% 0% 0% 0%,0.490
nbody,python,1,50000,1235,0.608,6948,0,2% 0% 0% 0% 3% 0% 0% 98%,0.609
nbody,python,1,50000,1235,0.604,6936,0,0% 2% 0% 0% 0% 0% 0% 100%,0.607
nbody,python,1,50000,1235,0.604,6740,0,0% 100% 0% 0% 0% 0% 0% 0%,0.608
nbody,python,1,50000,1235,0.608,6644,0,2% 0% 2% 0% 2% 0% 2% 100%,0.612
nbody,python,1,50000,1235,0.612,6860,0,2% 100% 0% 0% 0% 0% 0% 0%,0.615
nbody,python,1,50000,1235,0.608,6888,0,0% 0% 0% 2% 2% 0% 0% 98%,0.611
regexdna,python,1,10000,422,0.032,0,0,25% 0% 0% 0% 0% 0% 100% 0%,0.035
regexdna,python,1,10000,422,0.032,0,0,25% 0% 0% 0% 100% 0% 0% 0%,0.034
regexdna,python,1,10000,422,0.032,0,0,25% 0% 0% 0% 0% 0% 0% 100%,0.035
regexdna,python,1,10000,422,0.032,0,0,25% 0% 0% 0% 0% 0% 100% 0%,0.034
regexdna,python,1,10000,422,0.032,0,0,0% 0% 0% 0% 0% 0% 100% 0%,0.033
regexdna,python,1,10000,422,0.032,0,0,0% 0% 0% 0% 0% 0% 100% 0%,0.033
